,bitfinex_MTS,bitfinex_OPEN,bitfinex_CLOSE,bitfinex_HIGH,bitfinex_LOW,bitfinex_VOLUME
228,2020/04/20 12:00,6963.3,7038.1,7069.8,6914.6,836.5058557
229,2020/04/20 11:00,7081.2,6967.3,7088.2,6950.1,930.2882257
230,2020/04/20 10:00,7151.4,7081.2,7151.5,7011,1096.595838
231,2020/04/20 9:00,7161.402944,7151,7165,7120.4,757.539757
232,2020/04/20 8:00,7199,7161.4,7204.6,7147.9,361.4769201
233,2020/04/20 7:00,7183.8,7199,7206.2,7175.501254,88.22474852
234,2020/04/20 6:00,7190.9,7183.3,7194.5,7169,20.33474402
235,2020/04/20 5:00,7190.960196,7187.7,7194.5,7173,25.56481887
236,2020/04/20 4:00,7178.6,7191,7236.3,7178.6,107.5068977
237,2020/04/20 3:00,7195.4,7178.555977,7200,7178.4,24.60258616
238,2020/04/20 2:00,7173.4,7191.843678,7210.2,7162.889481,108.3680374
239,2020/04/20 1:00,7180,7174.4,7180.370051,7150.3,53.2664986
240,2020/04/20 0:00,7133.3,7179,7186.494815,7100,167.7283124
241,2020/04/19 23:00,7186,7133.3,7198.2,7109,177.1354748
242,2020/04/19 22:00,7202,7184.1,7205.2,7164.8,60.02123475
243,2020/04/19 21:00,7156.146777,7202.4,7226,7156.1,398.2037571
244,2020/04/19 20:00,7147.210879,7156.146777,7162.5,7130.2,47.1279342
245,2020/04/19 19:00,7159.4,7147.207139,7162.8,7129.9,46.22089319
246,2020/04/19 18:00,7170,7158.6,7170,7150,106.6497499
247,2020/04/19 17:00,7133,7169.99803,7179.7,7130,207.8616315
248,2020/04/19 16:00,7107.3,7132.9,7141,7103,103.6955028
249,2020/04/19 15:00,7115.4,7109,7130.3,7101.6,148.5297013
250,2020/04/19 14:00,7112.034266,7115.5,7123,7056.9,419.0887076
251,2020/04/19 13:00,7168.7,7112.4,7168.8,7085,448.2292328
252,2020/04/19 12:00,7171.2,7168.7,7179.894283,7159.8,207.9871778
253,2020/04/19 11:00,7175.1,7170.97678,7175.1,7149.1,119.3623844
254,2020/04/19 10:00,7185.766784,7175.007126,7195.1,7166.7,141.861519
255,2020/04/19 9:00,7161.7,7185.6,7205,7150,118.1285127
256,2020/04/19 8:00,7159.1,7162.059278,7169.5,7136,129.7856673
257,2020/04/19 7:00,7169.1,7159.5,7170,7134.9,174.0955249
258,2020/04/19 6:00,7130.95677,7169.1,7174,7120,485.4396904
259,2020/04/19 5:00,7240.1,7131,7240.2,7120,709.9293263
260,2020/04/19 4:00,7244,7240.141798,7250,7240.1,26.37898462
261,2020/04/19 3:00,7251.2,7243.9,7254.7,7236.3,31.45196029
262,2020/04/19 2:00,7246,7250,7260,7229.9,64.4987784
263,2020/04/19 1:00,7238.7,7246.014299,7248,7210.1,49.41568394
264,2020/04/19 0:00,7269,7238.689521,7285.4,7210,317.6018208
265,2020/04/18 23:00,7281.2,7268.8,7298,7247,165.7513378
266,2020/04/18 22:00,7233.9,7281.4,7309.7,7230,450.7337229
267,2020/04/18 21:00,7241.664298,7234.813046,7253.4,7228.9,177.8965025
268,2020/04/18 20:00,7227.961795,7241.6,7242.5,7212.5,68.54588388
269,2020/04/18 19:00,7213.7,7227.9,7233.3,7200,140.9435226
270,2020/04/18 18:00,7210.2,7213.7,7216.7,7191.6,131.6738168
271,2020/04/18 17:00,7208.9,7208.3,7223,7195,103.9612862
272,2020/04/18 16:00,7262.435553,7208.9,7270,7180.8,425.0806038
273,2020/04/18 15:00,7246.8,7262,7267.9,7238,141.1014997
274,2020/04/18 14:00,7263.5,7246.7,7284,7233.8,441.5372753
275,2020/04/18 13:00,7157.4,7261.3,7275,7150.3,1501.70732
276,2020/04/18 12:00,7123.6,7157.491777,7182.4,7097.1,390.3714055
277,2020/04/18 11:00,7093,7123.6,7135.198022,7075.1,98.82862806
278,2020/04/18 10:00,7113.230516,7092.9,7113.230516,7070.8,144.4917192
279,2020/04/18 9:00,7106.7,7113.2,7119.755518,7103,39.26343156
280,2020/04/18 8:00,7110.620515,7106.7,7127.2,7100.398013,35.6690748
281,2020/04/18 7:00,7103,7110.6,7115.6,7094.7,31.51292616
282,2020/04/18 6:00,7116.6,7103,7124.9,7098.9,174.974962
283,2020/04/18 5:00,7100.071763,7116.7,7133,7100,113.17439
284,2020/04/18 4:00,7103.2,7100,7118.2,7100,35.66854646
285,2020/04/18 3:00,7100.071763,7103.230219,7121.6,7100,51.67115351
286,2020/04/18 2:00,7096,7100.2,7125,7096,87.96283601
